Form_Paper_ID,Title,DOI,Include_In_Final_Corpus,Final_Paper_ID,Exclusion_Category,Exclusion_Reason
36,Deep Learning Super-Resolution Reconstruction for Fast and Motion-Robust T2-weighted Prostate MRI,10.1148/radiol.230427,True,34,,
37,Super resolution using sparse sampling at portable ultra-low field MR,10.3389/fneur.2024.1330203,False,,No AI/DL method,"The full text (Methods, p. 8) explicitly states that FouSR does not rely on deep learning. The review's eligibility scope requires an AI/deep-learning MRI enhancement or super-resolution method."
38,Bridging the gap: improving correspondence between low-field and high-field magnetic resonance images in young people,10.3389/fneur.2024.1339223,True,35,,
39,MRI Super-Resolution With Ensemble Learning and Complementary Priors,10.1109/tci.2020.2964201,True,36,,
40,SRflow: Deep learning based super-resolution of 4D-flow MRI data,10.3389/frai.2022.928181,True,37,,
41,SMORE: A Self-Supervised Anti-Aliasing and Super-Resolution Algorithm for MRI Using Deep Learning,10.1109/tmi.2020.3037187,True,38,,
42,SMIR: A Transformer-Based Model for MRI super-resolution reconstruction,10.1109/icmipe53131.2021.9698880,True,39,,
43,Autoencoder-Inspired Convolutional Network-Based Super-Resolution Method in MRI,10.1109/jtehm.2021.3076152,True,40,,
44,A mass correlation based deep learning approach using deep Convolutional neural network to classify the brain tumor,10.1016/j.bspc.2022.104395,True,41,,
45,Accuracy Enhancement in Detecting Pituitary Tumors using Deep Learning,10.1109/icscna58489.2023.10370139,True,42,,
46,A deep convolutional neural network based computer aided diagnosis system for the prediction of Alzheimer's disease in MRI images,10.1016/j.measurement.2020.108838,True,43,,
47,A Novel Deep Learning Approach for Brain Tumors Classification Using MRI Images,10.18280/ts.400329,True,44,,
48,Automatic myocardial segmentation in dynamic contrast enhanced perfusion MRI using Monte Carlo dropout in an encoder-decoder convolutional neural network,10.1016/j.cmpb.2019.105150,True,45,,
